PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
2376,144205929,33039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2377,144205930,88836,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2378,144205931,243274,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2379,144205932,62531,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2380,144205933,64184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2381,144205934,33919,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2382,144205935,16683083,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2383,144205936,16258,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,10.6822,22.4585,inactive,,0,inactive,SigmaAldrich
2384,144205937,68610,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2385,144205938,80196,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2386,144205939,10569,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2387,144205940,14017587,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2388,144205941,16682999,Active,48,,,active agonist,active agonist,6.74001,54.4911,inactive,,0,active agonist,10.6822,52.957,inactive,FLUKA
2389,144205942,8549,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2390,144205943,71484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2391,144205944,23667639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2392,144205945,16211385,Inconclusive,5,,,inconclusive,inconclusive,,,active antagonist,27.8822,-55.1679,active antagonist,21.3138,-50.1073,inactive,FLUKA
2393,144205946,136183544,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2394,144205947,656641,Inconclusive,5,,,inconclusive,inconclusive antagonist,2.01215,-23.4042,inactive,,0,inactive,,0,inactive,SigmaAldrich
2395,144205948,446925,Active,46,,,active agonist,active agonist,19.7391,35.8809,inactive,,0,active agonist,23.9145,69.8145,inactive,FLUKA
2396,144205949,14525,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2397,144205950,157355,Active,47,,,active agonist,active agonist,8.01052,35.3725,inactive,,0,active agonist,9.52052,31.9947,inactive,FLUKA
2398,144205951,16682734,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2399,144205952,38882,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2400,144205953,23665772,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2401,144205954,25798,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2402,144205955,6585,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2403,144205956,9549168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2404,144205957,5280793,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2405,144205958,56205,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,20.5113,25.975,inactive,RIEDEL
2406,144205959,60651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2407,144205960,43233,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2408,144205961,42574,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2409,144205962,25750,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,RIEDEL
2410,144205963,2734398,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2411,144205964,6256,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2412,144205965,533728,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,FLUKA
2413,144205966,16219444,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2414,144205967,33611,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2415,144205968,9983292,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2416,144205969,23064738,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2417,144205970,177843,Inconclusive,20,,,active antagonist,active antagonist,11.5344,-37.9285,inconclusive agonist,5.67101,22.5464,inconclusive antagonist,23.9145,-28.8238,inactive,FLUKA
2418,144205971,23676755,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,FLUKA
2419,144205972,9936727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
2420,144205973,451417,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2421,144205974,6918303,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2422,144205975,1201518,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2423,144205976,60196294,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2424,144205977,12675,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2425,144205978,5206,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2426,144205979,3226,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Alfa Aesar
2427,144205980,31799,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Apollo
2428,144205981,5484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ASDI
2429,144205982,2972,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ASDI
2430,144205983,517304,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ASDI
2431,144205984,6364626,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
2432,144205985,23670359,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bionet
2433,144205986,5394,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2434,144205987,5482,Inconclusive,5,,,inconclusive,inconclusive agonist,18.9959,72.4103,inconclusive antagonist,15.9831,-44.1048,inactive,,0,inactive,Bosche
2435,144205988,135403821,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,15.089,-31.6442,inactive,Bosche
2436,144205989,23681451,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2437,144205990,441351,Active,51,,,active agonist,active agonist,8.81713,124.764,inactive,,0,active agonist,7.2777,98.3247,inactive,Bosche
2438,144205991,443866,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,21.3138,30.2327,inactive,,0,inactive,Bosche
2439,144205992,4494,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2440,144205993,65948,Inconclusive,5,,,inconclusive,active agonist,26.8325,170.625,active antagonist,22.5767,-78.0131,inconclusive antagonist,23.9145,-52.1667,inactive,Bosche
2441,144205994,107999,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2442,144205995,5284631,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2443,144205996,66359,Active,71,,,active agonist,active agonist,0.00301065,117.705,inactive,,0,active agonist,0.00337801,126.954,inactive,Bosche
2444,144205997,104865,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-30.3193,inactive,,0,inactive,,0,inactive,Bosche
2445,144205998,119570,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2446,144205999,5362376,Active,47,,,active agonist,active agonist,23.9145,58.8342,inactive,,0,active agonist,21.3138,76.1513,inactive,Bosche
2447,144206000,2040,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2448,144206001,636405,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2449,144206002,73356,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2450,144206003,4121,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2451,144206004,4963,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,2.53315,33.6007,inactive,Bosche
2452,144206005,5536,Inconclusive,5,,,inconclusive,active antagonist,7.56242,-43.396,active agonist,8.48517,56.1141,inactive,,0,inactive,Bosche
2453,144206006,40973,Active,48,,,active agonist,active agonist,0.239145,28.7062,inactive,,0,active agonist,1.06822,45.6566,inactive,Bosche
2454,144206007,656583,Active,49,,,active agonist,active agonist,0.15089,27.4425,active agonist,18.2807,28.4846,active agonist,0.848517,57.1421,inactive,Bosche
2455,144206008,6918178,Active,52,,,active agonist,active agonist,0.952052,74.1174,inactive,,0,active agonist,0.816571,76.9193,inactive,Bosche
2456,144206009,23695982,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2457,144206010,2787,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2458,144206011,4820,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Bosche
2459,144206012,72179,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,Bosche
2460,144206013,20055424,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2461,144206014,27812,Active,59,,,active agonist,active agonist,0.00268325,63.4127,active agonist,24.85,35.2033,active agonist,0.00156793,56.5459,inactive,Bosche
2462,144206015,43593,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2463,144206016,64647,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2464,144206017,23663938,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2465,144206018,23662369,Inconclusive,5,,,inconclusive,active antagonist,14.5209,-29.1938,active agonist,14.5209,31.751,inactive,,0,inactive,Bosche
2466,144206019,155434,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2467,144206020,11954009,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2468,144206021,441406,Active,65,,,active agonist,active agonist,0.0325083,120.404,inactive,,0,active agonist,0.028973,112.843,inactive,Bosche
2469,144206022,5288783,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-40.2201,inconclusive agonist,23.9145,30.6356,inactive,,0,inactive,Bosche
2470,144206023,3950,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2471,144206024,39764,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2472,144206025,21102,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2473,144206026,5281080,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2474,144206027,656511,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2475,144206028,2194,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2476,144206029,2161,Inconclusive,5,,,inconclusive,active antagonist,7.56242,-30.2279,active agonist,9.52052,59.736,inactive,,0,inactive,Bosche
2477,144206030,135797791,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2478,144206031,2541,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2479,144206032,91442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chembridge
2480,144206033,28280,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chembridge
2481,144206034,160024,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chemical Block
2482,144206035,5282164,Active,67,,,active agonist,active agonist,5.15221,344.678,active antagonist,2.21476,-50.8359,active agonist,6.00704,117.714,inactive,ChemPacific
2483,144206036,60196295,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Epsilon
2484,144206037,95286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Innovapharm
2485,144206038,153751,Active,53,,,active agonist,active agonist,0.134481,61.1834,inactive,,0,active agonist,0.201215,54.6094,inactive,InterBioScreen
2486,144206039,6918155,Inconclusive,5,,,inconclusive,inconclusive antagonist,10.6822,-34.5467,inactive,,0,inactive,,0,inactive,InterBioScreen
2487,144206040,135413520,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2488,144206041,56069,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2489,144206042,406563,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,8.01052,-36.3949,inactive,InterBioScreen
2490,144206043,444005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2491,144206044,6437380,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2492,144206045,216326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,InterBioScreen
2493,144206046,157917,Inactive,0,,,inactive,inactive,,0,inactive,,0,active antagonist,22.1476,-30.6702,inactive,InterBioScreen
2494,144206047,150762,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,26.8325,-35.7403,inconclusive,,,inactive,InterBioScreen
2495,144206048,10634,Active,49,,,active agonist,active agonist,9.89298,92.7076,inactive,,0,active agonist,9.89298,103.284,inactive,InterBioScreen
2496,144206049,164877,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inconclusive antagonist,15.089,-35.8353,inactive,Labotest
2497,144206050,6099,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Labotest
2498,144206051,5310993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
2499,144206052,197006,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LKT Lab
2500,144206053,56704,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LKT Lab
2501,144206054,5282375,Inactive,0,,,inactive,inactive,,0,active agonist,18.9959,52.6503,active agonist,23.0141,64.7193,inactive,LKT Lab
2502,144206055,6292,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Maybridge
2503,144206056,448812,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2504,144206057,16051947,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2505,144206058,208908,Inconclusive,5,,,inconclusive,inconclusive antagonist,17.9333,-31.1355,inactive,,0,inactive,,0,inactive,Sequoia
2506,144206059,189821,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2507,144206060,168088,Active,59,,,active agonist,active agonist,1.19856,148.105,inactive,,0,active agonist,0.989298,128.039,inactive,Sequoia
2508,144206061,73303,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2509,144206062,4723,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2510,144206063,6442177,Inconclusive,5,,,inconclusive,active antagonist,9.89298,-52.1427,active agonist,13.4481,56.1125,inactive,,0,inactive,Sequoia
2511,144206064,3081361,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Sequoia
2512,144206065,13765,Active,47,,,active agonist,active agonist,2.05113,29.6657,inactive,,0,active agonist,1.34481,42.6141,inactive,Sequoia
2513,144206066,71734,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2514,144206067,25077533,Inconclusive,5,,,inconclusive,active agonist,26.8325,178.029,active antagonist,25.8222,-59.0077,inconclusive antagonist,18.9959,-38.8093,inactive,Sequoia
2515,144206068,6918289,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2516,144206069,123879,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2517,144206070,151170,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2518,144206071,636411,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2519,144206072,325003,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2520,144206073,23418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2521,144206074,54260,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2522,144206075,5381,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,20.5113,73.6575,inconclusive,Sequoia
2523,144206076,5284360,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2524,144206077,656829,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2525,144206078,60758,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2526,144206079,129791,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2527,144206080,175989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2528,144206081,77990,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2529,144206082,65958,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2530,144206083,135749823,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2531,144206084,65957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2532,144206085,5486830,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2533,144206086,93858,Active,47,,,active agonist,active agonist,24.85,61.1306,inactive,,0,active agonist,23.9145,93.9353,inactive,Sequoia
2534,144206087,5741,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2535,144206088,23360,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2536,144206089,798,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2537,144206090,6736,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2538,144206091,91465,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2539,144206092,16212198,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2540,144206093,6328657,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2541,144206094,3571576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2542,144206095,90473,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2543,144206096,12629,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2544,144206097,121396,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2545,144206098,65452,Inconclusive,5,,,inconclusive,inconclusive antagonist,5.35378,-52.5266,inactive,,0,inactive,,0,inactive,SigmaAldrich
2546,144206099,2724259,Inconclusive,5,,,inconclusive,inconclusive antagonist,2.13138,-31.1264,inconclusive agonist,18.9959,26.3292,inactive,,0,inactive,SigmaAldrich
2547,144206100,10781,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2548,144206101,3016408,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2549,144206102,6296,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2550,144206103,5222465,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2551,144206104,9568618,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2552,144206105,14220,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2553,144206106,3357,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2554,144206107,6852393,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,15.089,33.1649,inactive,SigmaAldrich
2555,144206108,5918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2556,144206109,20353,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SigmaAldrich
2557,144206110,21651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2558,144206111,4237,Inconclusive,5,,,inconclusive,inconclusive antagonist,4.77156,-29.177,active agonist,11.1001,36.8564,inactive,,0,inactive,SigmaAldrich
2559,144206112,11808,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2560,144206113,135705561,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2561,144206114,54680085,Inconclusive,5,,,inconclusive,inconclusive antagonist,8.98795,-40.7279,inconclusive agonist,7.13938,33.9081,inactive,,0,inactive,SigmaAldrich
2562,144206115,9281,Inconclusive,5,,,inconclusive,active agonist,9.52052,200.569,active antagonist,6.48625,-69.3825,inconclusive antagonist,6.36298,-45.6606,inactive,SigmaAldrich
2563,144206116,452110,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2564,144206117,3045407,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Specs
2565,144206118,23672582,Active,50,,,active agonist,active agonist,3.79019,73.0102,inactive,,0,active agonist,5.35378,64.4165,inactive,Timtec
2566,144206119,2734019,Inconclusive,5,,,inconclusive,active antagonist,23.9145,-55.432,active agonist,23.9145,58.1563,inactive,,0,inconclusive,Timtec
2567,144206120,128918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2568,144206121,60196296,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2569,144206122,71413,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-55.1057,inconclusive agonist,,,inactive,,0,inactive,Tyger
2570,144206123,23663985,Active,54,,,active agonist,active agonist,5.35378,144.03,inactive,,0,active agonist,6.74001,137.481,inactive,Bosche
2571,144206124,6918235,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2572,144206125,24868287,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2573,144206126,9852176,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sequoia
2574,144206127,31202,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,21.3138,-58.4081,inactive,,0,inconclusive antagonist,23.9145,-34.1997,inactive,SigmaAldrich
2575,144206128,6451143,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2576,144206129,92897,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2577,144206130,6917941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2578,144206131,60196297,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2579,144206132,16052011,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
2580,144206133,23663953,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2581,144206134,122077,Inconclusive,5,,,inconclusive,inconclusive antagonist,22.5767,-41.0896,inconclusive agonist,21.3138,65.3166,inconclusive agonist,15.9831,29.797,inactive,Tocris
2582,144206135,163727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2583,144206136,15387,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2584,144206137,48229,Inconclusive,5,,,inconclusive,active antagonist,6.00704,-33.7324,active agonist,7.56242,32.8278,inactive,,0,inactive,Tocris
2585,144206138,9887053,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2586,144206139,426756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2587,144206140,60785,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2588,144206141,51045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2589,144206142,54746,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2590,144206143,54889,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2591,144206144,23663403,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2592,144206145,135410906,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Tocris
2593,144206146,6432394,Inconclusive,5,,,inconclusive,inconclusive antagonist,1.59831,-27.0097,inconclusive agonist,1.59831,34.5219,inactive,,0,inactive,Sequoia
2594,144206147,5281243,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,9.52052,30.8755,inactive,Bosche
2595,144206148,24728612,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2596,144206149,9850878,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2597,144206150,472335,Inconclusive,5,,,inconclusive,inconclusive antagonist,1.5089,-20.51,inactive,,0,inactive,,0,inactive,Bosche
2598,144206151,5487426,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2599,144206152,123698,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bosche
2600,144206153,248271,Active,57,,,active agonist,active agonist,0.0325083,72.4677,inactive,,0,active agonist,0.0364749,74.3816,inactive,Bosche
2601,144206154,4888,Inconclusive,5,,,inconclusive,active antagonist,16.2927,-27.2144,active agonist,16.9301,31.5884,inactive,,0,inactive,Bosche
2602,144206155,11296583,Active,49,,,active agonist,active agonist,3.37801,62.4408,inactive,,0,active agonist,3.64749,60.8228,inactive,Bosche
2603,144206156,5311066,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,23.9145,28.9312,inactive,Bosche
